Name	SMILES
Biovia-200	CO[C@@H]1O[C@@H](CO)[C@H](O[C@@H]2O[C@@H](CO)[C@H](O)[C@H](NC(=S)NCc3cccnc3)[C@@H]2O)[C@H](O)[C@@H]1NC(C)=O
Biovia-226	Cn1c(CO[C@@H]2[C@@H](O)[C@@H](Sc3ccc(Cl)c(Cl)c3)O[C@H](CO)[C@@H]2O)nc2ccc(C(=O)O)cc21
Biovia-238	OC[C@H]1O[C@H](Sc2cncc(Br)c2)[C@H](O)[C@@H](n2cc(-c3cc(F)c(F)c(F)c3)nn2)[C@H]1O
Biovia-301	CNc1ccccc1OCc1cn([C@@H]2[C@@H](O)[C@H](Cc3ccc(C)cc3)O[C@H](CO)[C@@H]2O)nn1
CID6134	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
CID76935	CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
CID94214	CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
CID119138	OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
CID121942	CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O
CID439271	CC(=O)N[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@H]1O
CID7315241	Cc1ccc(S[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1
CID7568471	CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@@H]1O
CID7568545	CO[C@@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@H]1O
CID10036019	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
CID10992961	CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1NC(C)=O
CID11261867	CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](NC(=O)c3cc4ccccc4cc3C(=O)O)[C@H]2O)[C@H](O)[C@H]1NC(C)=O
CID11493782	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(-c3ccccc3)nn2)[C@H]1O
CID11502545	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(S(=O)(=O)c3ccc(C)cc3)nn2)[C@H]1O
CID11517290	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(C(=O)NCCN3CCOCC3)nn2)[C@H]1O
CID11522330	CCCc1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](SC)[C@@H]2O)nn1
CID11534637	COc1cccc(C(=O)N[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@H](NC(=O)c4cccc(OC)c4)[C@H]3O)[C@@H]2O)c1
CID11541495	CNC(=O)c1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@H](n4cc(C(=O)NC)nn4)[C@H]3O)[C@@H]2O)nn1
CID11544911	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(-c3ccccc3F)nn2)[C@H]1O
CID11574591	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(-c3ccc4ccccc4c3)nn2)[C@H]1O
CID11581280	CCCCNC(=O)c1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](SC)[C@@H]2O)nn1
CID11584252	CNC(=O)c1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]3[C@H](O)[C@@H](NC(C)=O)[C@H](OC)O[C@@H]3CO)[C@@H]2O)nn1
CID11588522	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(C3(O)CCCCC3)nn2)[C@H]1O
CID11588587	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(C(=O)NCCCO)nn2)[C@H]1O
CID11592187	O=C(N[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](NC(=O)c3ccccc3)[C@H]2O)[C@@H]1O)c1ccccc1
CID11608610	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2ccnn2)[C@H]1O
CID11617978	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(-c3cccc4ccccc34)nn2)[C@H]1O
CID11631088	COC(=O)Cn1cc(C[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)nn1
CID11631444	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(-c3cccnc3)nn2)[C@H]1O
CID11652651	COC(=O)c1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](SC)[C@@H]2O)nn1
CID11675040	COc1ccc(-c2cn([C@H]3[C@@H](O)[C@@H](CO)O[C@@H](SC)[C@@H]3O)nn2)cc1
CID11675582	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(C(=O)NCc3ccccc3)nn2)[C@H]1O
CID11696321	COc1cccc(-c2cn([C@H]3[C@@H](O)[C@@H](CO)O[C@@H](SC)[C@@H]3O)nn2)c1
CID11716704	CNC(=O)c1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](SC)[C@@H]2O)nn1
CID11953346	CN(C)CCNC(=O)COc1c2cccc1Cc1cccc(c1OCC(=O)NCCN(C)C)Cc1cccc(c1OCC(=O)NCCN(C)C)Cc1cccc(c1OCC(=O)NCCN(C)C)C2
CID24776270	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](NC(=O)c2ccc(C)cc2)[C@H]1OS(=O)(=O)O
CID24776272	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](NC(=O)c2ccc(C)cc2)[C@H]1OP(=O)(O)O
CID24776273	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](NC(=O)c2ccc(C)cc2)[C@H]1OP(=O)(O)OCc1ccccc1
CID24776274	CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](NC(=O)c2ccc(C)cc2)[C@H]1OC(C)=O
